Workout Number,Week,Day,Beginner Workout,Intermediate Workout,Advanced Workout
1,1,1,"Warmup (5 min walk) | 1.5 min run, 2.2 min walk | 1.5 min run, 2.2 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 3.0 min run, 1.7 min walk | 3.0 min run, 1.7 min walk | 3.0 min run, 1.7 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 4.5 min run, 0.25 min sprint (85%), 1.2 min walk | 4.5 min run, 0.25 min sprint (85%), 1.2 min walk | 4.5 min run, 0.25 min sprint (85%), 1.2 min walk | Cooldown (5 min jog/stretch)"
2,1,2,"Warmup (5 min walk) | 1.5 min run, 2.2 min walk | 1.5 min run, 2.2 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 3.0 min run, 1.7 min walk | 3.0 min run, 1.7 min walk | 3.0 min run, 1.7 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 4.5 min run, 0.25 min sprint (85%), 1.2 min walk | 4.5 min run, 0.25 min sprint (85%), 1.2 min walk | 4.5 min run, 0.25 min sprint (85%), 1.2 min walk | Cooldown (5 min jog/stretch)"
3,1,3,"Warmup (5 min walk) | 1.5 min run, 2.2 min walk | 1.5 min run, 2.2 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 3.0 min run, 1.7 min walk | 3.0 min run, 1.7 min walk | 3.0 min run, 1.7 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 4.5 min run, 0.25 min sprint (85%), 1.2 min walk | 4.5 min run, 0.25 min sprint (85%), 1.2 min walk | 4.5 min run, 0.25 min sprint (85%), 1.2 min walk | Cooldown (5 min jog/stretch)"
4,2,1,"Warmup (5 min walk) | 1.8 min run, 2.1 min walk | 1.8 min run, 2.1 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 3.3 min run, 1.6 min walk | 3.3 min run, 1.6 min walk | 3.3 min run, 1.6 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 4.8 min run, 0.25 min sprint (85%), 1.1 min walk | 4.8 min run, 0.25 min sprint (85%), 1.1 min walk | 4.8 min run, 0.25 min sprint (85%), 1.1 min walk | 4.8 min run, 0.25 min sprint (85%), 1.1 min walk | Cooldown (5 min jog/stretch)"
5,2,2,"Warmup (5 min walk) | 1.8 min run, 2.1 min walk | 1.8 min run, 2.1 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 3.3 min run, 1.6 min walk | 3.3 min run, 1.6 min walk | 3.3 min run, 1.6 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 4.8 min run, 0.25 min sprint (85%), 1.1 min walk | 4.8 min run, 0.25 min sprint (85%), 1.1 min walk | 4.8 min run, 0.25 min sprint (85%), 1.1 min walk | 4.8 min run, 0.25 min sprint (85%), 1.1 min walk | Cooldown (5 min jog/stretch)"
6,2,3,"Warmup (5 min walk) | 1.8 min run, 2.1 min walk | 1.8 min run, 2.1 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 3.3 min run, 1.6 min walk | 3.3 min run, 1.6 min walk | 3.3 min run, 1.6 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 4.8 min run, 0.25 min sprint (85%), 1.1 min walk | 4.8 min run, 0.25 min sprint (85%), 1.1 min walk | 4.8 min run, 0.25 min sprint (85%), 1.1 min walk | 4.8 min run, 0.25 min sprint (85%), 1.1 min walk | Cooldown (5 min jog/stretch)"
7,3,1,"Warmup (5 min walk) | 2.0 min run, 2.0 min walk | 2.0 min run, 2.0 min walk | 2.0 min run, 2.0 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 3.5 min run, 1.5 min walk | 3.5 min run, 1.5 min walk | 3.5 min run, 1.5 min walk | 3.5 min run, 1.5 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 5.0 min run, 0.25 min sprint (85%), 1.0 min walk | 5.0 min run, 0.25 min sprint (85%), 1.0 min walk | 5.0 min run, 0.25 min sprint (85%), 1.0 min walk | 5.0 min run, 0.25 min sprint (85%), 1.0 min walk | Cooldown (5 min jog/stretch)"
8,3,2,"Warmup (5 min walk) | 2.0 min run, 2.0 min walk | 2.0 min run, 2.0 min walk | 2.0 min run, 2.0 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 3.5 min run, 1.5 min walk | 3.5 min run, 1.5 min walk | 3.5 min run, 1.5 min walk | 3.5 min run, 1.5 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 5.0 min run, 0.25 min sprint (85%), 1.0 min walk | 5.0 min run, 0.25 min sprint (85%), 1.0 min walk | 5.0 min run, 0.25 min sprint (85%), 1.0 min walk | 5.0 min run, 0.25 min sprint (85%), 1.0 min walk | Cooldown (5 min jog/stretch)"
9,3,3,"Warmup (5 min walk) | 2.0 min run, 2.0 min walk | 2.0 min run, 2.0 min walk | 2.0 min run, 2.0 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 3.5 min run, 1.5 min walk | 3.5 min run, 1.5 min walk | 3.5 min run, 1.5 min walk | 3.5 min run, 1.5 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 5.0 min run, 0.25 min sprint (85%), 1.0 min walk | 5.0 min run, 0.25 min sprint (85%), 1.0 min walk | 5.0 min run, 0.25 min sprint (85%), 1.0 min walk | 5.0 min run, 0.25 min sprint (85%), 1.0 min walk | Cooldown (5 min jog/stretch)"
10,4,1,"Warmup (5 min walk) | 2.2 min run, 1.9 min walk | 2.2 min run, 1.9 min walk | 2.2 min run, 1.9 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 3.7 min run, 1.4 min walk | 3.7 min run, 1.4 min walk | 3.7 min run, 1.4 min walk | 3.7 min run, 1.4 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 5.2 min run, 0.25 min sprint (85%), 0.9 min walk | 5.2 min run, 0.25 min sprint (85%), 0.9 min walk | 5.2 min run, 0.25 min sprint (85%), 0.9 min walk | 5.2 min run, 0.25 min sprint (85%), 0.9 min walk | 5.2 min run, 0.25 min sprint (85%), 0.9 min walk | Cooldown (5 min jog/stretch)"
